taxon.final,rank.final,taxon.group,taxon.common
Alitta,genus,Worms,
Ampithoe valida,species,Amphipods,
Arachnida,class,Insects,
Batillaria attramentaria,species,Invasive mud snail,Invasive mud snail (B. attramentaria)
Belostomatidae,family,Insects,
Botrylloides violaceus,species,Tunicates,
Botryllus schlosseri,species,Tunicates,
Cecidomyiidae,family,Insects,
Ceratopogonidae,family,Insects,
Chaetogaster diastrophus,species,Worms,
Cheumatopsyche lepida,species,Insects,
Chordariaceae,family,Brown algae,
Clunio tsushimensis,species,Insects,
Crangon,genus,Shrimp,Shrimp (Crangon spp.)
Crangon franciscorum,species,Shrimp,Sand shrimp (C. franciscorum)
Cucurbitaceae,family,Plants,
Culex tritaeniorhynchus,species,Insects,
Cymatogaster aggregata,species,Fishes,Shiner perch (C. aggregata)
Ectocarpus,genus,Brown algae,
Ectocarpus crouaniorum,species,Brown algae,
Ectocarpus fasciculatus,species,Brown algae,
Elachista,genus,Insects,
Eogammarus confervicolus,species,Amphipods,
Fucus,genus,Brown algae,
Grandidierella japonica,species,Amphipods,
Gryllus,genus,Insects,
Harmothoe aff. imbricata CMC01,species,Worms,
Hediste diadroma,species,Worms,
Hemigrapsus,genus,Other Crabs,Shore crab (Hemigrapsus spp.)
Hemigrapsus oregonensis,species,Other Crabs,Shore crab (H. oregonensis)
Kurtiella,genus,Bivalves,
Leathesia marina,species,Brown algae,
Leptocottus armatus,species,Fishes,Pacific staghorn sculpin (L. armatus)
Liposcelis decolor,species,Insects,
Metacarcinus magister,species,Other Crabs,Dungeness crab
Micronereis nanaimoensis,species,Worms,
Molgula manhattensis,species,Brown algae,
Monocorophium acherusicum,species,Amphipods,
Monocorophium insidiosum,species,Amphipods,
Mya arenaria,species,Bivalves,Soft-shell clam (M. arenaria)
Nematostella,genus,Sea anemone,
Neoporphyra,genus,Red algae,
Nicomache personata,species,Worms,
Petalonia fascia,species,Brown algae,
Pholis ornata,species,Fishes,Saddleback gunnel (P. ornata)
Photis,genus,Amphipods,
Platynereis,genus,Worms,
Poaceae,family,Plants,
Polydora cornuta,species,Worms,
Pseudopolydora bassarginensis,species,Worms,
Pseudopolydora paucibranchiata,species,Worms,
Pylaiella washingtoniensis,species,Brown algae,
Ruditapes philippinarum,species,Bivalves,Manila clam
Sargassum,genus,Brown algae,
Scytosiphon,genus,Brown algae,
Scytosiphon lomentaria,species,Brown algae,
Serpula vermicularis,species,Worms,
Ulva compressa,species,Green algae,
Zosteraceae,family,Plants,Surfgrass/Eelgrass family
